"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,526",Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,418,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,134,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Injection drug use,205,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,113",Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,470,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,283,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Injection drug use,337,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"3,512",Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,482,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,535,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Injection drug use,370,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"8,312",Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Other,9,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,160,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,170,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Injection drug use,65,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"4,997",Data not available,NA
HIV diagnoses,2019,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2019,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,631,Data not available,NA
HIV diagnoses,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,96,Data not available,NA
HIV diagnoses,2019,United States,NA,55+,All races/ethnicities,Male,Injection drug use,240,Data not available,NA
HIV diagnoses,2019,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,709",Data not available,NA
HIV diagnoses,2019,United States,NA,45-54,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2019,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,599,Data not available,NA
HIV diagnoses,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,179,Data not available,NA
HIV diagnoses,2019,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,246,Data not available,NA
HIV diagnoses,2019,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,538",Data not available,NA
HIV diagnoses,2019,United States,NA,35-44,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2019,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,600,Data not available,NA
HIV diagnoses,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,369,Data not available,NA
HIV diagnoses,2019,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,350,Data not available,NA
HIV diagnoses,2019,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,068",Data not available,NA
HIV diagnoses,2019,United States,NA,25-34,All races/ethnicities,Male,Other,7,Data not available,NA
HIV diagnoses,2019,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,609,Data not available,NA
HIV diagnoses,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,702,Data not available,NA
HIV diagnoses,2019,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,438,Data not available,NA
HIV diagnoses,2019,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,378",Data not available,NA
HIV diagnoses,2019,United States,NA,13-24,All races/ethnicities,Male,Other,18,Data not available,NA
HIV diagnoses,2019,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,204,Data not available,NA
HIV diagnoses,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,236,Data not available,NA
HIV diagnoses,2019,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,88,Data not available,NA
HIV diagnoses,2019,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,177",Data not available,NA
HIV diagnoses,2018,United States,NA,55+,All races/ethnicities,Male,Other,12,Data not available,NA
HIV diagnoses,2018,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,611,Data not available,NA
HIV diagnoses,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,71,Data not available,NA
HIV diagnoses,2018,United States,NA,55+,All races/ethnicities,Male,Injection drug use,243,Data not available,NA
HIV diagnoses,2018,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,704",Data not available,NA
HIV diagnoses,2018,United States,NA,45-54,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2018,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,626,Data not available,NA
HIV diagnoses,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,173,Data not available,NA
HIV diagnoses,2018,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,279,Data not available,NA
HIV diagnoses,2018,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,740",Data not available,NA
HIV diagnoses,2018,United States,NA,35-44,All races/ethnicities,Male,Other,1,Data not available,NA
HIV diagnoses,2018,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,646,Data not available,NA
HIV diagnoses,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,326,Data not available,NA
HIV diagnoses,2018,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,353,Data not available,NA
HIV diagnoses,2018,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,114",Data not available,NA
HIV diagnoses,2018,United States,NA,25-34,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2018,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,745,Data not available,NA
HIV diagnoses,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,710,Data not available,NA
HIV diagnoses,2018,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,401,Data not available,NA
HIV diagnoses,2018,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,591",Data not available,NA
HIV diagnoses,2018,United States,NA,13-24,All races/ethnicities,Male,Other,14,Data not available,NA
HIV diagnoses,2018,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,211,Data not available,NA
HIV diagnoses,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,251,Data not available,NA
HIV diagnoses,2018,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,99,Data not available,NA
HIV diagnoses,2018,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,315",Data not available,NA
HIV diagnoses,2017,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2017,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,672,Data not available,NA
HIV diagnoses,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,94,Data not available,NA
HIV diagnoses,2017,United States,NA,55+,All races/ethnicities,Male,Injection drug use,250,Data not available,NA
HIV diagnoses,2017,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,648",Data not available,NA
HIV diagnoses,2017,United States,NA,45-54,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2017,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,631,Data not available,NA
HIV diagnoses,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,190,Data not available,NA
HIV diagnoses,2017,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,274,Data not available,NA
HIV diagnoses,2017,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,043",Data not available,NA
HIV diagnoses,2017,United States,NA,35-44,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2017,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,701,Data not available,NA
HIV diagnoses,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,322,Data not available,NA
HIV diagnoses,2017,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,297,Data not available,NA
HIV diagnoses,2017,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,257",Data not available,NA
HIV diagnoses,2017,United States,NA,25-34,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2017,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,669,Data not available,NA
HIV diagnoses,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,650,Data not available,NA
HIV diagnoses,2017,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,379,Data not available,NA
HIV diagnoses,2017,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,707",Data not available,NA
HIV diagnoses,2017,United States,NA,13-24,All races/ethnicities,Male,Other,15,Data not available,NA
HIV diagnoses,2017,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,209,Data not available,NA
HIV diagnoses,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,261,Data not available,NA
HIV diagnoses,2017,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,90,Data not available,NA
HIV diagnoses,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,690",Data not available,NA
HIV diagnoses,2016,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2016,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,670,Data not available,NA
HIV diagnoses,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,100,Data not available,NA
HIV diagnoses,2016,United States,NA,55+,All races/ethnicities,Male,Injection drug use,235,Data not available,NA
HIV diagnoses,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,642",Data not available,NA
HIV diagnoses,2016,United States,NA,45-54,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2016,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,740,Data not available,NA
HIV diagnoses,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,174,Data not available,NA
HIV diagnoses,2016,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,290,Data not available,NA
HIV diagnoses,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,193",Data not available,NA
HIV diagnoses,2016,United States,NA,35-44,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2016,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,773,Data not available,NA
HIV diagnoses,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,301,Data not available,NA
HIV diagnoses,2016,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,283,Data not available,NA
HIV diagnoses,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,361",Data not available,NA
HIV diagnoses,2016,United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2016,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,746,Data not available,NA
HIV diagnoses,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,664,Data not available,NA
HIV diagnoses,2016,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,301,Data not available,NA
HIV diagnoses,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,807",Data not available,NA
HIV diagnoses,2016,United States,NA,13-24,All races/ethnicities,Male,Other,11,Data not available,NA
HIV diagnoses,2016,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,298,Data not available,NA
HIV diagnoses,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,331,Data not available,NA
HIV diagnoses,2016,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,85,Data not available,NA
HIV diagnoses,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,942",Data not available,NA
HIV diagnoses,2015,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2015,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,715,Data not available,NA
HIV diagnoses,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,95,Data not available,NA
HIV diagnoses,2015,United States,NA,55+,All races/ethnicities,Male,Injection drug use,244,Data not available,NA
HIV diagnoses,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,605",Data not available,NA
HIV diagnoses,2015,United States,NA,45-54,All races/ethnicities,Male,Other,6,Data not available,NA
HIV diagnoses,2015,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,791,Data not available,NA
HIV diagnoses,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,207,Data not available,NA
HIV diagnoses,2015,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,311,Data not available,NA
HIV diagnoses,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,472",Data not available,NA
HIV diagnoses,2015,United States,NA,35-44,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2015,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,763,Data not available,NA
HIV diagnoses,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,321,Data not available,NA
HIV diagnoses,2015,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,292,Data not available,NA
HIV diagnoses,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,462",Data not available,NA
HIV diagnoses,2015,United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2015,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,677,Data not available,NA
HIV diagnoses,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,627,Data not available,NA
HIV diagnoses,2015,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,331,Data not available,NA
HIV diagnoses,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,413",Data not available,NA
HIV diagnoses,2015,United States,NA,13-24,All races/ethnicities,Male,Other,13,Data not available,NA
HIV diagnoses,2015,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,261,Data not available,NA
HIV diagnoses,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,365,Data not available,NA
HIV diagnoses,2015,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,101,Data not available,NA
HIV diagnoses,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"7,281",Data not available,NA
HIV diagnoses,2014,United States,NA,55+,All races/ethnicities,Male,Other,11,Data not available,NA
HIV diagnoses,2014,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,657,Data not available,NA
HIV diagnoses,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,84,Data not available,NA
HIV diagnoses,2014,United States,NA,55+,All races/ethnicities,Male,Injection drug use,273,Data not available,NA
HIV diagnoses,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,639",Data not available,NA
HIV diagnoses,2014,United States,NA,45-54,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2014,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,828,Data not available,NA
HIV diagnoses,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,227,Data not available,NA
HIV diagnoses,2014,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,331,Data not available,NA
HIV diagnoses,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,617",Data not available,NA
HIV diagnoses,2014,United States,NA,35-44,All races/ethnicities,Male,Other,1,Data not available,NA
HIV diagnoses,2014,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,809,Data not available,NA
HIV diagnoses,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,344,Data not available,NA
HIV diagnoses,2014,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,280,Data not available,NA
HIV diagnoses,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,659",Data not available,NA
HIV diagnoses,2014,United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2014,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,669,Data not available,NA
HIV diagnoses,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,604,Data not available,NA
HIV diagnoses,2014,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,260,Data not available,NA
HIV diagnoses,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,065",Data not available,NA
HIV diagnoses,2014,United States,NA,13-24,All races/ethnicities,Male,Other,16,Data not available,NA
HIV diagnoses,2014,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,258,Data not available,NA
HIV diagnoses,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,310,Data not available,NA
HIV diagnoses,2014,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,83,Data not available,NA
HIV diagnoses,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"7,285",Data not available,NA
HIV diagnoses,2013,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2013,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,719,Data not available,NA
HIV diagnoses,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,95,Data not available,NA
HIV diagnoses,2013,United States,NA,55+,All races/ethnicities,Male,Injection drug use,291,Data not available,NA
HIV diagnoses,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,722",Data not available,NA
HIV diagnoses,2013,United States,NA,45-54,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2013,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,864,Data not available,NA
HIV diagnoses,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,202,Data not available,NA
HIV diagnoses,2013,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,386,Data not available,NA
HIV diagnoses,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,691",Data not available,NA
HIV diagnoses,2013,United States,NA,35-44,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2013,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,782,Data not available,NA
HIV diagnoses,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,314,Data not available,NA
HIV diagnoses,2013,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,286,Data not available,NA
HIV diagnoses,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,704",Data not available,NA
HIV diagnoses,2013,United States,NA,25-34,All races/ethnicities,Male,Other,9,Data not available,NA
HIV diagnoses,2013,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,678,Data not available,NA
HIV diagnoses,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,585,Data not available,NA
HIV diagnoses,2013,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,258,Data not available,NA
HIV diagnoses,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"8,282",Data not available,NA
HIV diagnoses,2013,United States,NA,13-24,All races/ethnicities,Male,Other,12,Data not available,NA
HIV diagnoses,2013,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,237,Data not available,NA
HIV diagnoses,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,392,Data not available,NA
HIV diagnoses,2013,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,88,Data not available,NA
HIV diagnoses,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"6,895",Data not available,NA
HIV diagnoses,2012,United States,NA,55+,All races/ethnicities,Male,Other,12,Data not available,NA
HIV diagnoses,2012,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,700,Data not available,NA
HIV diagnoses,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,90,Data not available,NA
HIV diagnoses,2012,United States,NA,55+,All races/ethnicities,Male,Injection drug use,277,Data not available,NA
HIV diagnoses,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,591",Data not available,NA
HIV diagnoses,2012,United States,NA,45-54,All races/ethnicities,Male,Other,6,Data not available,NA
HIV diagnoses,2012,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,957,Data not available,NA
HIV diagnoses,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,264,Data not available,NA
HIV diagnoses,2012,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,427,Data not available,NA
HIV diagnoses,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,951",Data not available,NA
HIV diagnoses,2012,United States,NA,35-44,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2012,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,857,Data not available,NA
HIV diagnoses,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,389,Data not available,NA
HIV diagnoses,2012,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,314,Data not available,NA
HIV diagnoses,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,963",Data not available,NA
HIV diagnoses,2012,United States,NA,25-34,All races/ethnicities,Male,Other,5,Data not available,NA
HIV diagnoses,2012,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,651,Data not available,NA
HIV diagnoses,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,602,Data not available,NA
HIV diagnoses,2012,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,258,Data not available,NA
HIV diagnoses,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"8,143",Data not available,NA
HIV diagnoses,2012,United States,NA,13-24,All races/ethnicities,Male,Other,18,Data not available,NA
HIV diagnoses,2012,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,281,Data not available,NA
HIV diagnoses,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,343,Data not available,NA
HIV diagnoses,2012,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,94,Data not available,NA
HIV diagnoses,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"7,107",Data not available,NA
HIV diagnoses,2011,United States,NA,55+,All races/ethnicities,Male,Other,10,Data not available,NA
HIV diagnoses,2011,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,696,Data not available,NA
HIV diagnoses,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,100,Data not available,NA
HIV diagnoses,2011,United States,NA,55+,All races/ethnicities,Male,Injection drug use,329,Data not available,NA
HIV diagnoses,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,610",Data not available,NA
HIV diagnoses,2011,United States,NA,45-54,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2011,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,"1,068",Data not available,NA
HIV diagnoses,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,273,Data not available,NA
HIV diagnoses,2011,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,475,Data not available,NA
HIV diagnoses,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"3,979",Data not available,NA
HIV diagnoses,2011,United States,NA,35-44,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2011,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,974,Data not available,NA
HIV diagnoses,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,388,Data not available,NA
HIV diagnoses,2011,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,375,Data not available,NA
HIV diagnoses,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"5,255",Data not available,NA
HIV diagnoses,2011,United States,NA,25-34,All races/ethnicities,Male,Other,3,Data not available,NA
HIV diagnoses,2011,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,718,Data not available,NA
HIV diagnoses,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,600,Data not available,NA
HIV diagnoses,2011,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,267,Data not available,NA
HIV diagnoses,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"7,663",Data not available,NA
HIV diagnoses,2011,United States,NA,13-24,All races/ethnicities,Male,Other,15,Data not available,NA
HIV diagnoses,2011,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,252,Data not available,NA
HIV diagnoses,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,388,Data not available,NA
